LST,area,date
26.999526248399512,Chandkheda,2018-01-01
29.64049935979516,Chandkheda,2018-01-09
30.033687580025628,Chandkheda,2018-01-17
30.00367477592833,Chandkheda,2018-01-25
30.346875800256115,Chandkheda,2018-02-02
31.47419974391808,Chandkheda,2018-02-10
34.85353393085791,Chandkheda,2018-02-18
35.64423815621001,Chandkheda,2018-02-26
37.989154929577495,Chandkheda,2018-03-06
37.574891165172886,Chandkheda,2018-03-14
40.46582586427659,Chandkheda,2018-03-22
42.21263764404614,Chandkheda,2018-03-30
40.67655569782335,Chandkheda,2018-04-07
43.63243277848915,Chandkheda,2018-04-15
44.36080665813064,Chandkheda,2018-04-23
44.05466069142128,Chandkheda,2018-05-01
44.672663252240746,Chandkheda,2018-05-09
43.73542893725995,Chandkheda,2018-05-17
43.32892445582591,Chandkheda,2018-05-25
39.75481434058901,Chandkheda,2018-06-02
34.95594110115241,Chandkheda,2018-06-10
38.60265044814345,Chandkheda,2018-06-18
37.38387537345288,Chandkheda,2018-06-26
36.165100298762304,Chandkheda,2018-07-04
34.946325224071735,Chandkheda,2018-07-12
33.727550149381166,Chandkheda,2018-07-20
32.50877507469059,Chandkheda,2018-07-28
31.29000000000002,Chandkheda,2018-08-05
31.303577981651397,Chandkheda,2018-08-13
31.317155963302763,Chandkheda,2018-08-21
30.992259159628357,Chandkheda,2018-08-29
30.66736235595394,Chandkheda,2018-09-06
35.15304737516008,Chandkheda,2018-09-14
35.60298335467353,Chandkheda,2018-09-22
37.14208706786175,Chandkheda,2018-09-30
36.07819462227915,Chandkheda,2018-10-08
37.71660691421259,Chandkheda,2018-10-16
36.859961587708106,Chandkheda,2018-10-24
35.6092829705506,Chandkheda,2018-11-01
34.87970550576186,Chandkheda,2018-11-09
34.48408450704228,Chandkheda,2018-11-17
32.2628297055058,Chandkheda,2018-11-25
30.255147247119112,Chandkheda,2018-12-03
28.45274007682461,Chandkheda,2018-12-11
28.447695262484025,Chandkheda,2018-12-19
27.36080665813064,Chandkheda,2018-12-27
28.31693982074266,Chandkheda,2019-01-01
