area,no2_mean,no2_min,no2_max,no2_std,no2_count,date
Chandkheda,0.00012364351615521213,6.861635442996126e-05,0.0002275074360624,5.1733249739480114e-05,36,2018-07-01
Chandkheda,9.254058506937681e-05,6.456541450461373e-05,0.0002360499421625,3.210284330717288e-05,40,2018-08-01
Chandkheda,9.906451017034953e-05,6.67649027351952e-05,0.0001512592051298,2.1953236006766123e-05,46,2018-09-01
Chandkheda,0.0001496025507616952,8.632846973019072e-05,0.0003971112240667,5.32171004004604e-05,46,2018-10-01
Chandkheda,0.00013962523206540681,9.258579092334529e-05,0.0002989117945531,3.930749959745911e-05,45,2018-11-01
Chandkheda,0.0001429943272036879,7.267366163432598e-05,0.0002616597710599,4.509987879277248e-05,50,2018-12-01
Chandkheda,0.00014756868512786259,8.883856446997039e-05,0.0003121888888473,5.3285830460956095e-05,52,2019-01-01
Chandkheda,0.00013082726875692535,6.07482470466844e-05,0.0002603384017638,4.699779937022544e-05,44,2019-02-01
Chandkheda,0.00012924138603216104,8.727698356303742e-05,0.0003485292836558,4.811182812498969e-05,49,2019-03-01
Chandkheda,0.00012328702480720994,7.891981513627493e-05,0.0002407606327969,3.397390919900447e-05,54,2019-04-01
Chandkheda,0.00010824509202793385,6.660788107988517e-05,0.0001376034465899,1.6124304041435353e-05,54,2019-05-01
Chandkheda,0.00010592641236675244,7.780128728264813e-05,0.0001588234650869,1.4556482440781442e-05,47,2019-06-01
Chandkheda,0.00010098772493753227,6.306273678404283e-05,0.000156777764236,2.179506252857382e-05,46,2019-07-01
Chandkheda,8.770774930633075e-05,3.712778534999268e-05,0.0001224331622592,1.5807387550208298e-05,54,2019-08-01
Chandkheda,9.246361462003678e-05,6.637789923213688e-05,0.0001970070828345,2.703501061231516e-05,53,2019-09-01
Chandkheda,0.00010488073934177243,6.468169390101137e-05,0.0003019915292044,3.265556228752312e-05,54,2019-10-01
Chandkheda,0.00010956772648230795,6.581612144917916e-05,0.000182371657848,2.9309024731313548e-05,46,2019-11-01
Chandkheda,9.674165374902724e-05,6.713389648355048e-05,0.0002054602283153,2.619936967466654e-05,49,2019-12-01
Chandkheda,0.00010186232736707103,5.292773181245056e-05,0.0001710960482586,2.5194693302320284e-05,48,2020-01-01
Chandkheda,0.00012102144945515524,7.680669145976275e-05,0.0003654577571826,5.7066516947900765e-05,46,2020-02-01
Chandkheda,0.00012375493842745253,6.0483692313363535e-05,0.0003861739198505,6.402781479958265e-05,46,2020-03-01
Chandkheda,8.057768094491337e-05,6.522442688792351e-05,0.0001066001226615,8.948858360838052e-06,50,2020-04-01
Chandkheda,8.169791533972737e-05,6.816296894988744e-05,9.368843307709552e-05,6.470509996078883e-06,53,2020-05-01
Chandkheda,9.718350284056253e-05,7.456250023098372e-05,0.0001644136631233,1.6485924765384053e-05,51,2020-06-01
Chandkheda,8.816983559543744e-05,5.063050775788148e-05,0.0001258987613254,1.932436768684296e-05,44,2020-07-01
Chandkheda,7.626912213100031e-05,4.699118807619256e-05,9.90942242574187e-05,1.2525895560771996e-05,51,2020-08-01
Chandkheda,9.120997065020481e-05,5.407807111623939e-05,0.0001409040008048,1.9697111908867672e-05,49,2020-09-01
Chandkheda,0.00010588014971876515,7.148436202565783e-05,0.0001694587536243,2.120849087467124e-05,53,2020-10-01
Chandkheda,0.00010847966813865472,7.488378469136887e-05,0.0002303234509557,3.196980882449769e-05,50,2020-11-01
Chandkheda,0.0001372247669710664,8.866207071698206e-05,0.0002827427244867,4.381279795192355e-05,47,2020-12-01
Chandkheda,0.00014993751771245282,9.032351509101044e-05,0.0003813926832447,5.1854957959166015e-05,49,2021-01-01
Chandkheda,0.00014854342694247026,8.554954521670528e-05,0.0003748463350347,5.716815930579205e-05,47,2021-02-01
Chandkheda,0.00016724855884369294,8.825151409654819e-05,0.0004926638411989,8.12647092480653e-05,50,2021-03-01
Chandkheda,0.0001388340426100418,8.929738522672069e-05,0.0003952131943653,5.7084495984242586e-05,53,2021-04-01
Chandkheda,0.00011420592412815544,5.973161387374039e-05,0.0003707042050275,4.103653084039272e-05,53,2021-05-01
Chandkheda,0.00010053941880434931,7.02906254446377e-05,0.000134683286778,1.4138417360398607e-05,49,2021-06-01
Chandkheda,9.90561129488549e-05,6.916916079912011e-05,0.0001271632800215,1.6415735640943965e-05,54,2021-07-01
Chandkheda,9.741021925524289e-05,6.245463088223821e-05,0.0001777346431859,2.5940371950639582e-05,49,2021-08-01
Chandkheda,0.00010469897172667701,7.434857349543555e-05,0.0002051673082562,2.875644322207289e-05,48,2021-09-01
Chandkheda,0.00012100032297514796,8.520831751210756e-05,0.0002026350994128,2.5838371474134414e-05,51,2021-10-01
Chandkheda,0.00012081375876619908,7.964020200007985e-05,0.0002508567122277,3.2128620658045576e-05,54,2021-11-01
Chandkheda,0.00011345431337994365,6.964187582841327e-05,0.0002919271011406,3.318245456569255e-05,52,2021-12-01
Chandkheda,0.000126673906448857,7.422354458670177e-05,0.0003406276278963,5.008604639322187e-05,48,2022-01-01
Chandkheda,0.0001605928359319123,8.852859464858153e-05,0.0003969178487689,7.500976088640197e-05,46,2022-02-01
Chandkheda,0.00013397988743006888,7.734681275903365e-05,0.0002722028293646,4.8919360979975746e-05,51,2022-03-01
Chandkheda,0.00012182183883709859,7.658402319065621e-05,0.0003211465082131,4.42815052400519e-05,49,2022-04-01
Chandkheda,9.906350974095123e-05,6.528544472596573e-05,0.0001263222154793,1.459015591963762e-05,51,2022-05-01
Chandkheda,0.00011040914565894207,8.152121070977548e-05,0.0001603803585832,2.378536650100365e-05,48,2022-06-01
Chandkheda,9.158624725183614e-05,5.430822784546789e-05,0.0001700826542219,2.6000210794378577e-05,50,2022-07-01
Chandkheda,8.617972209623636e-05,4.3490093915170446e-05,0.0001560695828387,2.3831850713367e-05,52,2022-08-01
Chandkheda,9.705810345357666e-05,6.942814304851523e-05,0.000187813029343,2.471759432766432e-05,52,2022-09-01
Chandkheda,0.0001254461829957588,7.617266985673962e-05,0.0002236662042107,3.526094338848228e-05,50,2022-10-01
Chandkheda,0.00015601951162992977,0.0001024740139381,0.0002647263696945,4.141488993462625e-05,47,2022-11-01
Chandkheda,0.0001322159879333648,8.184748331878056e-05,0.0002501414819108,2.6920657974349264e-05,78,2022-12-01
Chandkheda,0.00013810936922039281,7.120799922834916e-05,0.0002256755561206,3.4944810404835594e-05,170,2023-01-01
Chandkheda,0.00017282105997310984,0.000106514418136,0.0003464714290003,5.4315133008214744e-05,213,2023-02-01
Chandkheda,0.00014418751143434327,9.68820971886918e-05,0.0002921860409812,3.0522472323902724e-05,120,2023-03-01
Chandkheda,0.00012795150653199824,7.835697603311107e-05,0.0002018537848666,3.3305603679437995e-05,50,2023-04-01
Chandkheda,0.0001142685641076124,7.480760454546342e-05,0.0002906042261156,3.176229938561717e-05,50,2023-05-01
Chandkheda,0.00010884529483383374,6.107738590797544e-05,0.0001600806380287,2.307986345077384e-05,49,2023-06-01
Chandkheda,9.69932343677169e-05,4.1759982044822304e-05,0.0001581442242214,2.4546662920837594e-05,48,2023-07-01
Chandkheda,7.759957736238039e-05,5.192826574782513e-05,0.0001055047112968,1.068249279181328e-05,51,2023-08-01
Chandkheda,0.00010118924408930858,7.471825784057612e-05,0.0001596711373316,1.8257410948135328e-05,48,2023-09-01
Chandkheda,0.00013518731719567307,9.08027067372353e-05,0.0002105360514388,3.4272260056692096e-05,48,2023-10-01
Chandkheda,0.00012417410238586675,7.989150268777843e-05,0.0002758608724286,4.408446538473285e-05,49,2023-11-01
Chandkheda,0.00010193824335711766,6.535175228547823e-05,0.0002073054492468,2.654261976492821e-05,52,2023-12-01
Chandkheda,0.0001241801634829829,7.890849782676275e-05,0.0002309501187979,3.0154608666076528e-05,52,2024-01-01
Chandkheda,0.00011796610794640663,4.396568692753157e-05,0.0003090646350756,4.597568458072329e-05,51,2024-02-01
Chandkheda,0.00012361711076378513,7.829031528673754e-05,0.0001859121206292,3.0671893307770615e-05,48,2024-03-01
Chandkheda,0.00011790146528880263,7.792102442561019e-05,0.0002238624857505,3.760963354016534e-05,46,2024-04-01
Chandkheda,0.00011182785053051803,3.084376469271305e-05,0.0001966119036408,2.658505644908185e-05,53,2024-05-01
Chandkheda,0.00011115773421367784,5.862048137412136e-05,0.0001771039251673,2.249822189303025e-05,51,2024-06-01
Chandkheda,8.601200692046686e-05,5.325606980477878e-05,0.0001494093754494,2.024280600107446e-05,47,2024-07-01
Chandkheda,7.791618806543958e-05,5.766307731389688e-05,0.000125061846712,1.3857497696640337e-05,52,2024-08-01
Chandkheda,8.677870326488425e-05,4.4521055566782976e-05,0.0001277893024962,1.8091113597336917e-05,50,2024-09-01
Chandkheda,0.00012420580337273743,4.678776895159898e-05,0.0002425660350126,3.7437471519843116e-05,52,2024-10-01
Chandkheda,0.00012275483129408065,8.286999853979732e-05,0.000226911861693,2.939732085342412e-05,46,2024-11-01
Chandkheda,0.0001232369724445,7.766646819066958e-05,0.0002932192584197,3.989205413619635e-05,48,2024-12-01
Chandkheda,0.00012545784853247181,7.173212524761795e-05,0.0002340309306977,3.751280846234477e-05,51,2025-01-01
Chandkheda,0.00012183974075851274,6.87927309678908e-05,0.0002042384662142,2.775047509447373e-05,51,2025-02-01
Chandkheda,0.0001302971331200479,7.186687084921534e-05,0.0002286850512209,3.380906279446714e-05,68,2025-03-01
Chandkheda,0.00011234793428720537,8.500673937790008e-05,0.0002058566582562,2.548065130127087e-05,86,2025-04-01
Chandkheda,0.00012595054388317507,9.834356659040452e-05,0.0001597915552642,1.4880317976696998e-05,80,2025-05-01
Chandkheda,9.669165784379438e-05,6.578159925924998e-05,0.0001452237488058,1.7159197347673847e-05,60,2025-06-01
Chandkheda,8.427905026153563e-05,6.163500802359342e-05,0.0001136200361633,1.0971112473558886e-05,54,2025-07-01
Chandkheda,8.194766532018185e-05,5.7915982336355614e-05,0.0001037765176044,1.0771481013519518e-05,53,2025-08-01
Chandkheda,9.00898118073589e-05,6.508468813844686e-05,0.0001168010281908,1.2859484998816273e-05,61,2025-09-01
Chandkheda,0.00010225697670562403,6.439786375266226e-05,0.0002206841707876,2.534989319348518e-05,55,2025-10-01
Chandkheda,0.00010881300438308537,6.784494786507622e-05,0.0002452504704706,2.8033231205259515e-05,46,2025-11-01
Chandkheda,0.00012810473132271994,8.153624931138588e-05,0.0002178306107466,3.393548017423063e-05,51,2025-12-01
Chandkheda,0.0001063082019637339,7.177572591874047e-05,0.0001788379338525,2.36503591984135e-05,50,2026-01-01
Chandkheda,0.00011517978569856826,6.442495126096195e-05,0.0002375510855732,3.741714293928823e-05,48,2026-02-01
Chandkheda,0.00012470888789490404,8.765068476381052e-05,0.0003005700928163,4.4090321273918886e-05,35,2026-03-01
Gota,0.00010892103447497497,6.65069056429722e-05,0.0002195394410597,3.7736451196992135e-05,36,2018-07-01
Gota,9.053203251942713e-05,6.353991251593844e-05,0.0002571161837088,3.3917356080137904e-05,40,2018-08-01
Gota,9.033247043398331e-05,5.2089253750337015e-05,0.0001308128921547,1.732760183467343e-05,45,2018-09-01
Gota,0.00013779799809850429,7.826885848771781e-05,0.0003212996264264,4.1298340412126605e-05,46,2018-10-01
Gota,0.00014332148815355555,0.0001017177855828,0.0002598992432467,3.384860245471855e-05,45,2018-11-01
Gota,0.00013734830464602656,7.252462306867646e-05,0.0002476183872204,3.863952546816298e-05,50,2018-12-01
Gota,0.0001389223571692412,7.596466194147716e-05,0.0002875584836694,4.908127892211484e-05,52,2019-01-01
Gota,0.00011965605241949176,5.199013885929811e-05,0.0002784178034483,4.383511772681348e-05,44,2019-02-01
Gota,0.00011788259877144853,7.850510554732547e-05,0.0003220761321254,3.786740680328233e-05,49,2019-03-01
Gota,0.00011770326578216933,8.012386388145387e-05,0.0002769363927654,3.602682000763046e-05,54,2019-04-01
Gota,9.790293178405509e-05,6.991144423406044e-05,0.0001231536057898,1.131543745697896e-05,54,2019-05-01
Gota,9.884443046044578e-05,7.975392388509421e-05,0.0001443217436776,1.1818780335650574e-05,48,2019-06-01
Gota,9.913423744469455e-05,6.500485569883502e-05,0.0001576069030889,2.0685825988019985e-05,46,2019-07-01
Gota,8.255842372696743e-05,3.713650404545284e-05,0.0001284455669406,1.6716583515497813e-05,54,2019-08-01
Gota,9.080265968502764e-05,6.054503295553529e-05,0.0001969753793673,2.5468127402579877e-05,53,2019-09-01
Gota,9.913541877264936e-05,6.076917125327036e-05,0.0001532535159169,1.884585893189484e-05,54,2019-10-01
Gota,0.00011274167265745848,6.8625871790573e-05,0.0002022064148145,3.171698941997573e-05,46,2019-11-01
Gota,9.722700200086689e-05,7.00310455496392e-05,0.0001891564040518,2.181271460953154e-05,49,2019-12-01
Gota,0.00010038390729168683,5.540801371892956e-05,0.0001595434291003,2.2295353300239805e-05,48,2020-01-01
Gota,0.00011469186533832804,7.705964526394382e-05,0.0003226744302097,4.8543387944144615e-05,46,2020-02-01
Gota,0.00012355063597762182,6.396117957191344e-05,0.0004013258331724,6.686675849383653e-05,47,2020-03-01
Gota,8.081701989075591e-05,5.7272222555234295e-05,9.757670997884454e-05,9.3880369300079e-06,50,2020-04-01
Gota,8.083312053851534e-05,6.841526934196472e-05,9.777424154037404e-05,6.957302877354474e-06,53,2020-05-01
Gota,9.26548467808623e-05,7.064316014293574e-05,0.0001517001067214,1.5853760348226508e-05,51,2020-06-01
Gota,8.202248681111152e-05,5.6272420604114125e-05,0.0001229723194245,1.5308784029690563e-05,44,2020-07-01
Gota,7.768286677221835e-05,4.735674097133598e-05,0.0001151179822045,1.5413461196791494e-05,51,2020-08-01
Gota,8.297053378978574e-05,5.724427483037701e-05,0.0001382220616259,1.850648815072216e-05,49,2020-09-01
Gota,0.00010109647982141759,6.725180014779656e-05,0.0002005429234803,2.3584030566347925e-05,53,2020-10-01
Gota,0.00010429232197365737,6.642677579045449e-05,0.0002069444360087,2.3787103839292597e-05,50,2020-11-01
Gota,0.00013065468379508467,8.173589594661577e-05,0.0002976751469549,4.251432388603144e-05,47,2020-12-01
Gota,0.00014517502552306223,9.106564519018804e-05,0.0002959667155205,3.954578933411539e-05,49,2021-01-01
Gota,0.00014836826033544072,8.745677769180574e-05,0.0003932511277233,6.41665517893764e-05,47,2021-02-01
Gota,0.00015511755103828358,8.475605653415805e-05,0.0004979483344031,7.887902929865343e-05,50,2021-03-01
Gota,0.00011723915217657567,8.374016886643129e-05,0.0002699508596488,3.697910908189184e-05,53,2021-04-01
Gota,0.00010369538105637248,5.977968525645251e-05,0.0002279249068069,2.7079387717851026e-05,53,2021-05-01
Gota,9.298311912686817e-05,6.957930041454717e-05,0.0001272683945782,1.3555833998592778e-05,49,2021-06-01
Gota,9.61673617005147e-05,6.458988976723552e-05,0.0001597353839315,1.9829199415414523e-05,53,2021-07-01
Gota,9.275882107612976e-05,6.828781669827882e-05,0.000135377533423,1.72974109653648e-05,48,2021-08-01
Gota,9.995357816849958e-05,6.932538535064639e-05,0.000165482142543,2.057428710763486e-05,48,2021-09-01
Gota,0.00011852824382577874,7.732538233019778e-05,0.0003003094733238,3.643087873805785e-05,51,2021-10-01
Gota,0.0001225747946307611,7.198281410763377e-05,0.0002428071857027,3.307663077606593e-05,54,2021-11-01
Gota,0.00010893762018156426,6.997367017902397e-05,0.0002505791937729,2.9232177803623062e-05,52,2021-12-01
Gota,0.00012426232475555826,6.882670884257674e-05,0.0002899570815678,4.5695206295312656e-05,48,2022-01-01
Gota,0.0001609305303053255,8.766057629722318e-05,0.0005502056015937,9.177954614281514e-05,45,2022-02-01
Gota,0.00012530835687155284,6.246277292848963e-05,0.0002474139209059,4.616368264996424e-05,51,2022-03-01
Gota,0.00010168807367450613,7.727781333323099e-05,0.0002007750886916,2.2450402671580054e-05,49,2022-04-01
Gota,9.062896956501274e-05,5.805217401967986e-05,0.0001169633615063,1.2348448397839825e-05,51,2022-05-01
Gota,0.00010248378025989606,8.235204336795788e-05,0.0001571067259233,1.9624805636791085e-05,47,2022-06-01
Gota,8.720747191348447e-05,5.43369810478105e-05,0.0001669859682381,2.451763214399828e-05,50,2022-07-01
Gota,8.047146870940067e-05,4.843491138554305e-05,0.0001380613104454,2.0069321388834342e-05,52,2022-08-01
Gota,9.279931836668229e-05,6.474496456661374e-05,0.0001880170457297,2.438884951838855e-05,52,2022-09-01
Gota,0.0001262383638031775,7.5475745937849e-05,0.000219746993686,3.701909327311659e-05,50,2022-10-01
Gota,0.00015022638217101304,0.00010217678748,0.0002641320320499,3.421438199877436e-05,46,2022-11-01
Gota,0.0001380214767557377,7.523682143074114e-05,0.0002838046201075,2.8867560947738238e-05,77,2022-12-01
Gota,0.00013799375059555223,9.184388607657684e-05,0.0002035504148806,2.7824496929011103e-05,170,2023-01-01
Gota,0.00015002415135152632,9.463655442233484e-05,0.0002807451338755,3.9741995867413434e-05,213,2023-02-01
Gota,0.00014037318361789943,8.307099835555333e-05,0.0002235828687143,2.654681478493007e-05,120,2023-03-01
