NO2,area,date
0.0001108923841073,Chandkheda,2018-07-11
0.0001357846823281,Chandkheda,2018-07-11
0.0001606769805489,Chandkheda,2018-07-12
0.0001855692787698,Chandkheda,2018-07-12
0.0002104615769906,Chandkheda,2018-07-13
0.0002049558011706,Chandkheda,2018-07-13
0.0001994500253507,Chandkheda,2018-07-14
0.0001939442495307,Chandkheda,2018-07-15
0.0001884384737108,Chandkheda,2018-07-15
0.0001829326978908,Chandkheda,2018-07-15
0.0001774269220709,Chandkheda,2018-07-16
0.0001719211462509,Chandkheda,2018-07-16
0.000166415370431,Chandkheda,2018-07-17
0.0001410349240329,Chandkheda,2018-07-17
0.0001156544776349,Chandkheda,2018-07-19
9.027403123689044e-05,Chandkheda,2018-07-19
8.927752266880012e-05,Chandkheda,2018-07-20
8.828101410070981e-05,Chandkheda,2018-07-20
8.728450553261948e-05,Chandkheda,2018-07-21
8.628799696452916e-05,Chandkheda,2018-07-21
7.83858444309453e-05,Chandkheda,2018-07-22
7.853152827820307e-05,Chandkheda,2018-07-22
7.867721212546083e-05,Chandkheda,2018-07-23
0.0001530923240939,Chandkheda,2018-07-23
0.0002275074360624,Chandkheda,2018-07-24
6.861635442996126e-05,Chandkheda,2018-07-25
7.285269309783738e-05,Chandkheda,2018-07-26
7.70890317657135e-05,Chandkheda,2018-07-26
7.445628348660914e-05,Chandkheda,2018-07-26
7.182353520750479e-05,Chandkheda,2018-07-27
7.464141630880575e-05,Chandkheda,2018-07-27
7.74592974101067e-05,Chandkheda,2018-07-28
7.826038679424507e-05,Chandkheda,2018-07-29
8.066489370725706e-05,Chandkheda,2018-07-30
8.306940062026904e-05,Chandkheda,2018-07-31
8.907488244596928e-05,Chandkheda,2018-07-31
8.089908261350215e-05,Chandkheda,2018-08-01
7.272328278103503e-05,Chandkheda,2018-08-01
6.827146886671477e-05,Chandkheda,2018-08-02
6.994711198897591e-05,Chandkheda,2018-08-04
7.162275511123706e-05,Chandkheda,2018-08-05
7.542141970378896e-05,Chandkheda,2018-08-05
7.922008429634085e-05,Chandkheda,2018-08-06
8.017275461711366e-05,Chandkheda,2018-08-06
8.112542493788648e-05,Chandkheda,2018-08-07
0.0001144186494308,Chandkheda,2018-08-07
0.0001477118739238,Chandkheda,2018-08-08
0.0001093886943113,Chandkheda,2018-08-09
8.436604736533625e-05,Chandkheda,2018-08-11
7.93724284283204e-05,Chandkheda,2018-08-11
7.437880949130455e-05,Chandkheda,2018-08-12
7.49288441179953e-05,Chandkheda,2018-08-12
7.547887874468602e-05,Chandkheda,2018-08-13
9.40395788384036e-05,Chandkheda,2018-08-13
0.0001126002789321,Chandkheda,2018-08-16
0.000117981280874,Chandkheda,2018-08-16
0.0001021308457066,Chandkheda,2018-08-16
8.628041053932695e-05,Chandkheda,2018-08-17
7.042997537196725e-05,Chandkheda,2018-08-18
0.0001087608293304,Chandkheda,2018-08-19
7.232590851791015e-05,Chandkheda,2018-08-20
0.0002360499421625,Chandkheda,2018-08-21
0.0001716224484455,Chandkheda,2018-08-21
0.0001071949547285,Chandkheda,2018-08-22
0.0001029082334628,Chandkheda,2018-08-22
9.862151219721424e-05,Chandkheda,2018-08-23
8.827854829424044e-05,Chandkheda,2018-08-23
7.793558439126664e-05,Chandkheda,2018-08-24
8.108889499752467e-05,Chandkheda,2018-08-26
7.558106816655436e-05,Chandkheda,2018-08-26
7.007324133558404e-05,Chandkheda,2018-08-27
6.456541450461373e-05,Chandkheda,2018-08-27
9.548446370663244e-05,Chandkheda,2018-08-28
8.355116853112654e-05,Chandkheda,2018-08-28
